Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2023-171770,07/17/2023,07/22/2023,Second Class,LR-51571,Sarah Turner,Corporate,United States,Philadelphia,Texas,56890,Central,OFF-287761,Office Supplies,Fasteners,Fasteners Model 451,15.11,7,0.2,2.28
2,CA-2023-147270,06/18/2023,06/25/2023,First Class,BQ-38159,Sophia Anderson,Corporate,United States,Seattle,Florida,80065,South,OFF-901614,Office Supplies,Storage,Storage Model 976,5.42,14,0.4,-0.23
3,CA-2024-176427,05/12/2024,05/16/2024,Standard Class,AU-48543,Mary Evans,Consumer,United States,Detroit,Michigan,87584,Central,OFF-905863,Office Supplies,Storage,Storage Model 947,16.99,12,0.1,-0.74
4,CA-2021-193283,03/18/2021,03/20/2021,Standard Class,RR-17601,Madison Taylor,Consumer,United States,Philadelphia,Ohio,77980,East,OFF-145432,Office Supplies,Art,Art Model 307,15.85,7,0.0,0.08
5,CA-2021-173255,11/26/2021,11/30/2021,Standard Class,VF-77377,Michael Jones,Consumer,United States,New York City,California,74449,West,OFF-989790,Office Supplies,Supplies,Supplies Model 594,32.65,4,0.0,6.4
6,CA-2022-149930,09/19/2022,09/21/2022,Standard Class,SD-20497,Ella Baker,Home Office,United States,Miami,Ohio,51018,East,OFF-797874,Office Supplies,Labels,Labels Model 279,36.75,1,0.0,13.47
7,CA-2024-199259,07/08/2024,07/12/2024,First Class,WA-29651,Karen Parker,Corporate,United States,Philadelphia,Virginia,33031,South,OFF-547972,Office Supplies,Art,Art Model 178,7.94,1,0.3,0.15
8,CA-2021-186423,12/14/2021,12/18/2021,Second Class,ZC-65253,Karen Thompson,Corporate,United States,Miami,Ohio,40069,East,OFF-403771,Office Supplies,Labels,Labels Model 865,89.61,9,0.1,23.29
9,CA-2024-124480,11/20/2024,11/26/2024,Standard Class,JL-21562,Olivia Davis,Corporate,United States,Richmond,Texas,99771,Central,OFF-515407,Office Supplies,Labels,Labels Model 878,28.23,5,0.0,-0.15
10,CA-2024-194045,10/28/2024,10/30/2024,Second Class,PI-70315,Michael Turner,Consumer,United States,Chicago,Ohio,46911,East,OFF-302234,Office Supplies,Labels,Labels Model 111,148.78,3,0.0,32.4
11,CA-2021-147967,05/19/2021,05/23/2021,Second Class,UM-11793,Richard Jones,Consumer,United States,Chicago,Texas,53393,Central,OFF-797981,Office Supplies,Binders,Binders Model 588,42.14,2,0.0,-1.31
12,CA-2022-125609,06/15/2022,06/18/2022,Second Class,RM-73770,David King,Corporate,United States,Columbus,Michigan,54388,Central,OFF-462194,Office Supplies,Supplies,Supplies Model 256,28.39,7,0.2,9.16
13,CA-2022-129488,01/13/2022,01/17/2022,Standard Class,UE-19973,Logan Miller,Consumer,United States,New York City,Michigan,41597,Central,OFF-496798,Office Supplies,Binders,Binders Model 606,20.27,9,0.0,5.5
14,CA-2022-178583,12/16/2022,12/23/2022,Standard Class,LX-37414,William King,Home Office,United States,Los Angeles,Illinois,23225,Central,FUR-931538,Furniture,Chairs,Chairs Model 394,93.81,1,0.4,22.55
15,CA-2024-138522,09/11/2024,09/17/2024,Second Class,LU-82755,Michael Garcia,Consumer,United States,New York City,New York,29735,East,TEC-143705,Technology,Phones,Phones Model 580,101.51,6,0.0,-9.41
16,CA-2022-165374,07/03/2022,07/10/2022,Same Day,UY-82953,Richard Lopez,Corporate,United States,Seattle,Washington,29663,West,OFF-459013,Office Supplies,Appliances,Appliances Model 763,62.51,7,0.2,19.89
17,CA-2023-144478,08/26/2023,08/28/2023,Standard Class,EL-80059,Olivia Clark,Consumer,United States,Detroit,New York,27900,East,OFF-648453,Office Supplies,Envelopes,Envelopes Model 176,164.79,1,0.0,-4.05
18,CA-2021-198670,07/20/2021,07/26/2021,Standard Class,OD-73504,Evelyn Campbell,Home Office,United States,Columbus,Florida,19165,South,OFF-318434,Office Supplies,Fasteners,Fasteners Model 531,16.01,13,0.0,2.67
19,CA-2023-113649,04/13/2023,04/20/2023,Second Class,EI-97723,Olivia Green,Corporate,United States,Detroit,Ohio,94065,East,OFF-256701,Office Supplies,Paper,Paper Model 407,61.16,4,0.0,17.63
20,CA-2022-158556,05/30/2022,06/05/2022,Standard Class,ZA-44075,Mia Evans,Consumer,United States,San Francisco,Texas,16506,Central,TEC-572133,Technology,Phones,Phones Model 453,41.44,2,0.0,8.94
21,CA-2024-135570,09/01/2024,09/07/2024,Second Class,IN-84793,Isabella Walker,Consumer,United States,Detroit,Michigan,20588,Central,OFF-265890,Office Supplies,Storage,Storage Model 936,26.18,2,0.5,8.1
22,CA-2024-179276,02/12/2024,02/14/2024,Standard Class,VD-77237,William Thomas,Home Office,United States,Miami,Florida,60950,South,OFF-468659,Office Supplies,Envelopes,Envelopes Model 925,17.18,7,0.2,4.37
23,CA-2021-194294,11/11/2021,11/17/2021,Standard Class,AN-61075,James Gonzalez,Corporate,United States,New York City,Virginia,92726,South,FUR-175687,Furniture,Chairs,Chairs Model 686,189.28,10,0.0,52.63
24,CA-2023-134568,06/26/2023,07/03/2023,Standard Class,KW-67336,Sofia Robinson,Consumer,United States,Chicago,Texas,72825,Central,FUR-117111,Furniture,Bookcases,Bookcases Model 779,81.28,4,0.1,4.01
25,CA-2022-190770,05/15/2022,05/18/2022,Standard Class,ZL-46470,Theodore Hall,Corporate,United States,Columbus,New York,21796,East,FUR-761861,Furniture,Tables,Tables Model 446,70.04,11,0.1,6.27
26,CA-2022-160638,10/01/2022,10/05/2022,Standard Class,PG-81997,Patricia Campbell,Consumer,United States,San Francisco,Washington,65224,West,FUR-267666,Furniture,Chairs,Chairs Model 668,59.42,4,0.1,8.96
27,CA-2022-105510,11/07/2022,11/11/2022,Standard Class,HD-52393,Jack Phillips,Consumer,United States,Miami,Texas,63442,Central,OFF-125747,Office Supplies,Fasteners,Fasteners Model 523,29.83,3,0.0,5.76
28,CA-2024-177857,04/13/2024,04/15/2024,Second Class,SN-14844,Jack Garcia,Home Office,United States,Seattle,Florida,75420,South,OFF-115508,Office Supplies,Paper,Paper Model 405,15.52,10,0.0,3.82
29,CA-2022-155142,02/28/2022,03/02/2022,Standard Class,AT-99767,Lucas Carter,Home Office,United States,Miami,Washington,36232,West,OFF-610563,Office Supplies,Paper,Paper Model 811,51.2,11,0.0,9.1
