PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,"Walker, Mrs. Mary",female,3.0,0,1,KXV42,27.1998,,C
2,0,2,"Thomas, Mr. Sophia",male,,1,3,DM8R6,7.2377,,S
3,0,3,"Thomas, Mr. Sophia",male,28.9,0,0,8C35K,10.1149,A141,S
4,1,3,"White, Mrs. Mary",female,42.0,1,0,UZEI13,18.5727,,S
5,1,1,"Thompson, Mrs. Madison",female,18.2,0,1,655IY,109.3405,,S
6,0,3,"Anderson, Mr. James",male,52.2,1,0,HCRZH,31.4834,F61,S
7,0,3,"Evans, Dr. Lucas",male,19.4,0,1,JH3GK,13.8632,,S
8,0,3,"Jackson, Mr. Avery",male,,0,0,H7HRUJ,8.5379,,S
9,0,1,"Thomas, Mr. Mason",male,50.5,8,1,GRAPNM,217.3437,,S
10,0,3,"Allen, Rev. Michael",male,32.0,1,0,9AFD9,0.0,,S
11,0,2,"Mitchell, Mr. Jackson",male,21.3,1,0,P1BCGY,15.134,,C
12,0,3,"Clark, Mr. Charlotte",male,26.8,2,0,W55JGF2Y,3.9799,F30,S
13,0,3,"King, Mr. Logan",male,47.9,0,0,S9632E08,25.0796,,S
14,0,3,"Jones, Mrs. Avery",female,49.5,0,1,3MH0FR,0.0,,S
15,1,2,"Walker, Mrs. Madison",female,17.6,0,6,FF71QO80,37.7322,,C
16,0,1,"Brown, Mr. Mary",male,28.4,0,0,DT0BSC6Y,102.6544,,S
17,0,3,"Miller, Mr. Sofia",male,30.3,0,0,SD2HV,0.0,,S
18,0,1,"Young, Mr. Noah",male,15.2,2,0,F9NEZ,154.4634,,S
19,0,3,"Anderson, Mr. Logan",male,28.2,0,0,V3YII,8.3219,,S
20,1,3,"Johnson, Mrs. Sofia",female,29.1,0,0,WYSOC,14.552,,S
21,0,3,"Wilson, Miss. Patricia",female,,0,1,XWDKKV25,19.2859,,S
22,0,2,"Nelson, Miss. Sebastian",female,45.9,0,1,NO0LO2T,0.0,,C
23,0,3,"Young, Miss. Patricia",female,24.4,0,0,0KC2QL,16.0127,,Q
24,1,3,"Lopez, Mrs. Jessica",female,26.0,0,0,70JVQ,23.9712,C123,S
25,1,3,"Edwards, Miss. Elizabeth",female,,0,0,LC975L,18.7098,,S
26,0,1,"Lopez, Dr. Jayden",male,20.8,0,0,J3DLU8JP,25.2563,F59,S
27,1,3,"Turner, Mr. Linda",male,37.2,1,0,RYPAKUAI,18.7456,D117,S
28,0,1,"Thompson, Mr. Ethan",male,,0,0,AIWUHC6T,170.4511,,S
29,0,1,"Johnson, Mr. Elizabeth",male,15.4,1,0,CHC91TY,35.6932,,C
30,0,3,"Garcia, Mr. Emily",male,15.6,0,0,9SS8D,0.0,,S
31,1,3,"Hernandez, Miss. Robert",female,49.3,0,0,DPJQZK,41.7221,E64,S
32,0,3,"Martinez, Mr. Emma",male,26.8,0,0,FZU96,6.6822,,S
33,0,2,"Davis, Mr. Abigail",male,52.0,3,0,0DD2O,0.0,,Q
34,0,2,"Lopez, Mr. Avery",male,21.8,0,0,ASL9Y1K6,20.1317,,S
35,0,3,"Edwards, Mr. Jackson",male,33.1,0,1,2R7YC5AY,24.672,,C
36,1,1,"Anderson, Mr. Mason",male,62.5,0,0,603ZU,238.0768,A92,C
37,1,1,"Taylor, Mrs. Isabella",female,14.2,1,0,KTKE5RB3,0.0,F9,S
38,0,3,"Collins, Mr. Jessica",male,2.4,0,0,XL40KL98,10.2149,,S
39,1,1,"Anderson, Mrs. Susan",female,47.0,0,0,BIMT54J,6.405,,S
40,0,3,"Perez, Mr. Ryan",male,17.4,1,0,JI6A3,17.8253,,S
41,0,2,"Sanchez, Mr. Evelyn",male,28.7,0,1,DYUAIMH,24.1756,,S
42,0,3,"Parker, Mr. Jack",male,20.8,0,0,WGEXQJJ,0.0,E47,S
43,0,3,"Perez, Miss. Olivia",female,32.8,0,0,44TMH,12.0587,,S
44,1,2,"Young, Miss. Sophia",female,,0,0,7D3KJ3,0.0,B87,C
45,0,3,"Taylor, Mr. Mason",male,26.5,3,1,9JVKGNCF,15.4598,,S
46,0,3,"Hall, Mrs. Ella",female,35.3,0,1,YJU16UI,23.5727,,S
47,0,2,"King, Mr. David",male,14.9,0,0,GFMLFB8,31.9938,,S
48,1,2,"Collins, Mrs. Mia",female,19.2,0,0,ZC2N0RI,0.0,,S
49,0,3,"Jones, Mr. Elizabeth",male,24.1,0,0,F3P23G,25.9935,,S
50,0,1,"Davis, Mr. Victoria",male,9.0,1,0,EA9XQH,273.3428,C7,S
51,1,1,"Smith, Mrs. Mary",female,23.1,0,0,TIAQS2O,91.989,,C
52,1,1,"Carter, Mr. Ethan",male,,1,0,5OZBB,198.0236,,S
53,0,3,"Jones, Mr. Owen",male,23.4,0,1,2I28X,2.9645,,C
54,0,3,"Campbell, Mr. Mary",male,,0,0,702VHDNR,16.702,C105,S
55,0,3,"White, Mr. Abigail",male,,0,0,DSR88W,26.502,,S
56,1,3,"Moore, Mrs. Robert",female,19.8,1,0,L87EZQJO,24.4306,C128,C
57,0,3,"Edwards, Mrs. Charles",female,38.7,0,0,7MQS0RO7,11.5138,,S
58,1,3,"Baker, Miss. Sarah",female,49.1,0,0,JLLTXE,22.6332,,S
59,0,1,"Perez, Mr. Mia",male,,1,0,JEYH18Y1,161.0862,D18,C
60,0,1,"Phillips, Mr. Jack",male,35.8,0,1,MWM5QR,176.941,,S
61,0,3,"Adams, Mr. Ava",male,,0,0,GU11IBG,5.3761,,S
62,0,3,"Sanchez, Dr. Emma",male,34.1,0,0,JCV5IBFE,6.0124,,S
63,0,3,"Jackson, Mr. Robert",male,,1,0,GWITO,22.2164,,S
64,1,3,"Collins, Mrs. Sebastian",female,36.1,0,0,XV6HSOT,12.5364,,
65,0,3,"Green, Miss. Thomas",female,4.2,0,4,L72PD,1.492,,C
66,1,3,"Evans, Miss. Ava",female,35.4,0,0,KLDKHBV,0.0,,S
67,0,3,"Edwards, Mr. Robert",male,46.3,0,0,EBDT3LED,22.1501,B64,S
68,0,2,"Perez, Mr. Jessica",male,25.9,0,0,MMI6NZ0,22.8872,,S
69,0,1,"Thompson, Mr. Charlotte",male,42.9,0,4,I65OF,122.3706,,S
70,0,2,"Evans, Mr. Sebastian",male,19.3,0,0,8YCZFK,20.1809,,C
71,0,1,"Collins, Mr. Sarah",male,8.2,0,0,MZF5VL,81.9385,,S
72,0,2,"Miller, Mr. Amelia",male,31.0,1,0,ROA94G82,39.3399,F44,S
73,1,3,"Sanchez, Mr. Jackson",male,4.4,0,0,7UYGDS,11.1224,,S
