order_id,order_date,region,product_category,product_name,sales_rep,quantity,unit_price,discount_pct,total_amount,customer_rating
ORD-10000,2025-10-25,West,Clothing,Cotton T-Shirt,Andrew Hill,4,80.66,0,322.64,1.3
ORD-10001,2025-10-25,Northeast,Toys,Remote Car,Cynthia Green,17,129.45,0,2200.65,4.5
ORD-10002,2024-07-18,Northeast,Books,Business Analytics,Linda Lee,4,150.28,0,601.12,4.5
ORD-10003,2025-08-01,Southwest,Books,Machine Learning Guide,Andrew Hill,17,456.75,0.1,6988.28,1.8
ORD-10004,2025-05-11,Midwest,Beauty,Sunscreen SPF50,Sandra Garcia,18,476.98,0,8585.64,1.1
ORD-10005,2022-06-25,West,Beauty,Eye Cream,Gary Rodriguez,8,33.67,0,269.36,1.3
ORD-10006,2023-06-27,Southwest,Home & Garden,Throw Pillow,Ashley Taylor,16,473.69,0,7579.04,3.4
ORD-10007,2024-06-16,Southwest,Sports,Jump Rope,Matthew Williams,10,202.5,0.15,1721.25,1.5
ORD-10008,2025-04-20,Southeast,Sports,Resistance Bands,Joseph Thomas,11,15.41,0.05,161.03,1.3
ORD-10009,2022-05-26,Southwest,Electronics,Laptop Stand,Charles Perez,3,453.18,0.15,1155.61,2.1
ORD-10010,2023-05-13,West,Food & Beverage,Trail Mix,Kevin Sanchez,18,70.49,0.25,951.62,2.6
ORD-10011,2024-08-14,Northeast,Clothing,Denim Jeans,Cynthia Green,14,180.38,0.2,2020.26,3.6
ORD-10012,2023-05-25,Southeast,Clothing,Cotton T-Shirt,Mark Smith,13,365.47,0,4751.11,3.1
ORD-10013,2022-06-04,West,Home & Garden,Door Mat,Kevin Sanchez,6,142.88,0.05,814.42,4.4
ORD-10014,2023-04-30,Southeast,Clothing,Cotton T-Shirt,Donna Torres,18,418.83,0,7538.94,2.9
ORD-10015,2024-03-10,Midwest,Sports,Cycling Gloves,Mark Young,2,86.5,0,173.0,4.1
ORD-10016,2022-11-14,Southeast,Food & Beverage,Olive Oil,Amanda Harris,14,349.81,0.25,3673.01,1.9
ORD-10017,2024-10-26,Southwest,Electronics,Wireless Headphones,Betty Clark,11,33.3,0.25,274.72,1.2
ORD-10018,2024-04-06,Northeast,Clothing,Running Shoes,Ryan White,3,299.54,0.05,853.69,3.3
ORD-10019,2023-06-19,Southeast,Electronics,Bluetooth Speaker,Cynthia Green,14,330.4,0.15,3931.76,3.9
ORD-10020,2024-07-25,Midwest,Sports,Foam Roller,Mark Young,13,69.78,0.1,816.43,4.0
ORD-10021,2022-05-31,Southwest,Clothing,Cotton T-Shirt,Mark Smith,15,312.47,0,4687.05,3.0
ORD-10022,2023-08-07,Southeast,Home & Garden,Scented Candle,Matthew Williams,3,440.24,0.15,1122.61,4.3
ORD-10023,2022-10-03,Midwest,Books,Python Cookbook,Patricia Anderson,18,153.19,0,2757.42,4.6
ORD-10024,2023-02-21,Midwest,Home & Garden,Wall Clock,Sandra Moore,10,304.39,0.15,2587.31,3.0
