order_id,customer_name,customer_email,order_date,order_status,product_tags,order_value,shipping_cost,country,is_returning_customer,num_items,promo_code,review_score
#101808,,jordan.lee356@yahoo.com,04-04-2024,delivered,"home,sports",€214.21,18.42,US,Yes,2.0,SAVE10,2.0
#100694,Quinn Davis,quinn.davis708@yahoo.com,12/06/2023,Processing,"toys,electronics,kitchen",€323.75,10.54,France,FALSE,7.0,WELCOME,4.0
#100906,Quinn Davis,quinn.davis593@gmail.com,04/03/2023,CANCELLED,"fashion,electronics",€77.39,15.98,UK,0,2.0,,3.0
#100544,Quinn Davis,quinn.davis225@yahoo.com,2022/12/02,Processing,"fashion,books,home,garden",372.1,0.26,Australia,1,11.0,,3.0
#101847,Alex Kim,alex.kim615@yahoo.com,11-17-2022,PENDING,electronics|garden,,3.52,U.S.,TRUE,8.0,N/A,2.0
#101566,Jordan Lee,jordan.lee381@gmail.com,2023-01-04,returned,['garden'],$88.53,19.77,US,,7.0,SAVE10 ,4.0
#101572,Morgan Walsh,morgan.walsh302@yahoo.com,20/12/2022,DELIVERED,books|home|garden|electronics,$483.03,21.05,Canada,False,10.0,welcome,5.0
#100944,Jordan Lee,jordan.lee899@gmail.com,13/08/2023,delivered,home|kitchen|toys,$93.5,9.75,DE,No,5.0,WELCOME,3.0
#100818,Riley Chen,riley.chen513@outlook.com,17/08/2022,,"['kitchen', 'garden', 'home']",508.55,27.26,GB,Yes,4.0,SAVE10,2.0
#100006,Casey Morgan,casey.morgan309@gmail.com,03/06/2023,PENDING,"['kitchen', 'fashion', 'electronics']",$272.39,5.48,france,1,7.0,N/A,1.0
#101530,Casey Morgan,casey.morgan806@yahoo.com,05-26-2023,,"['sports', 'books', 'toys', 'kitchen']",$588.87,,CA,FALSE,4.0,,1.0
#100978,Riley Chen,riley.chen835@outlook.com,2024/03/12,PENDING,sports|home,$399.35,8.18,USA,0,2.0,SAVE10,4.0
#101575,Taylor Swift,taylor.swift254@yahoo.com,28/01/2023,Canceled,"garden,kitchen,electronics",,15.69,us,TRUE,4.0,,6.0
#100785,Morgan Walsh,morgan.walsh687@gmail.com,07-01-2023,delivered,"['garden', 'electronics', 'books', 'fashion']",,5.68,FR,1,10.0,WELCOME,5.0
#100070,Alex Kim,alex.kim457@outlook.com,2022-08-29,returned,"['toys', 'fashion']",€349.92,12.35,FR,Y,4.0,SUMMER20,3.0
#101006,Alex Kim,alex.kim8@gmail.com,20/12/2023,CANCELLED,"['fashion', 'sports', 'electronics']",$435.43,,France,Y,11.0,,
#100188,Jordan Lee,jordan.lee41@gmail.com,08-26-2023,CANCELLED,sports,$397.14,23.65,france,True,0.02531327525385987,SAVE10,2.0
#101669,Morgan Walsh,morgan.walsh961@yahoo.com,08-01-2022,Delivered,"sports,garden",$36.69,22.01,canada,no,7.0,N/A,5.0
#101269,Casey Morgan,casey.morgan901@gmail.com,2023-11-07,Pending,books|toys|sports,31.78,8.67,UK,,9.0,welcome,3.0
#101304,Alex Kim,alex.kim127@yahoo.com,08-14-2022,DELIVERED,"books,toys,electronics,garden",$465.53,27.8,france,0,9.0,WELCOME,0.0
#101320,Taylor Swift,taylor.swift868@outlook.com,2022/06/04,SHIPPED,['toys'],$28.83,4.0,US,no,9.0,SAVE10 ,4.0
#101111,Morgan Walsh,morgan.walsh728@gmail.com,2024/04/05,Pending,"['home', 'fashion', 'books', 'sports']",$104.37,25.14,USA,1,11.0,,5.0
#101940,,riley.chen359@outlook.com,04-28-2023,CANCELLED,['home'],$310.47,5.57,USA,0,3.0,SAVE10,3.0
#101235,Taylor Swift,taylor.swift452@gmail.com,02-13-2024,returned,"['kitchen', 'electronics', 'toys', 'garden']",$280.84,24.92,france,No,7.0,N/A,5.0
#100599,Riley Chen,riley.chen799@outlook.com,07-31-2023,delivered,"['home', 'books', 'electronics', 'toys']",,2.01,United States,1,4.0,WELCOME,4.0
#100056,Morgan Walsh,morgan.walsh469@outlook.com,2023/11/03,Processing,"['fashion', 'garden', 'toys', 'electronics']",$7.41,N/A,AU,0,9.0,SAVE10,2.0
#101073,Jordan Lee,jordan.lee872@yahoo.com,05-06-2023,cancelled,"['sports', 'kitchen', 'books', 'home']",$308.39,,US,True,3.0,WELCOME,2.0
#101263,Alex Kim,alex.kim202@outlook.com,29/09/2023,PENDING,sports|home,$361.32,28.41,UK,1,10.0,SUMMER20,2.0
#100765,Riley Chen,riley.chen948@yahoo.com,2023/02/15,SHIPPED,home|electronics|garden,186.65,12.39,FR,No,8.0,N/A,4.0
#101338,,morgan.walsh320@gmail.com,03-21-2023,DELIVERED,"['toys', 'kitchen', 'electronics']",$194.71,24.5,Canada,Y,4.0,SUMMER20,3.0
#101875,Casey Morgan,casey.morgan83@outlook.com,11-22-2022,pending,['sports'],$532.88,7.51,DE,Y,5.0,WELCOME,0.0
#100582,Riley Chen,riley.chen89@gmail.com,08-21-2023,cancelled,"['toys', 'home', 'kitchen']",$537.95,9.77,United States,N,3.0,,1.0
#100712,Morgan Walsh,morgan.walsh987@gmail.com,2022/03/05,canceled,"['kitchen', 'fashion']",$62.9,13.75,US,TRUE,11.0,SUMMER20,5.0
#100081,Sam Jordan,sam.jordan42@gmail.com,04-29-2024,delivered,home,€385.56,FREE,Germany,,2.0,WELCOME,
#100383,Morgan Walsh,morgan.walsh282@yahoo.com,2024-06-13,Delivered,"['garden', 'books', 'electronics', 'sports']",526.6,10.97,UK,1,10.0,welcome,5.0
#101923,Riley Chen,riley.chen253@yahoo.com,21/02/2023,processing,"['garden', 'books', 'fashion']",38.43,6.2,Germany,TRUE,4.0,SUMMER20,6.0
#100212,Alex Kim,alex.kim79@yahoo.com,2023/07/20,pending,sports|fashion|home|toys,$503.96,2.49,GB,FALSE,3.0,N/A,5.0
#100382,Jordan Lee,JordanLee@,01-13-2024,canceled,"['home', 'fashion', 'kitchen', 'sports']",$285.44,4.98,canada,,6.0,SUMMER20,0.0
#100486,,casey.morgan968@outlook.com,12-26-2023,Shipped,['fashion'],319.57,24.65,GB,yes,1.0,WELCOME,1.0
#101718,Morgan Walsh,morgan.walsh620@gmail.com,03-29-2022,processing,sports,,11.87,Canada,No,3.0,SUMMER20,2.0
#100032,Alex Kim,alex.kim636@gmail.com,2023-09-14,Pending,"electronics,toys,sports,books",$51.45,8.44,France,Yes,6.0,SAVE10 ,3.0
#101553,Jordan Lee,jordan.lee674@outlook.com,2024/02/27,CANCELLED,"['fashion', 'home', 'garden', 'books']",€206.09,27.2,us,N,7.0,SAVE10,
#100124,Jordan Lee,jordan.lee87@gmail.com,2024-04-24,Pending,['books'],€319.86,19.49,AU,FALSE,5.0,,4.0
#100874,Morgan Walsh,morgan.walsh122@gmail.com,14/01/2022,PENDING,home,$572.03,20.68,Canada,1,8.0,N/A,
#100552,Riley Chen,riley.chen749@gmail.com,10-27-2023,Canceled,"['fashion', 'electronics', 'kitchen']",€431.56,N/A,United States,no,1.0,welcome,3.0
#100029,Jordan Lee,jordan.lee131@outlook.com,2022-01-09,CANCELLED,fashion|garden|toys|home,€145.55,25.19,FR ,False,4.0,SAVE10 ,2.0
#101734,Alex Kim,alex.kim560@yahoo.com,2024-03-12,returned,"['books', 'toys', 'electronics', 'home']",272.26,16.65,United States,0,4.0,,2.0
#101315,Casey Morgan,casey.morgan722@gmail.com,05-08-2023,shipped,"sports,home",€491.87,7.56,france,0,0.7120081058023928,welcome,1.0
#101418,Jordan Lee,jordan.lee756@outlook.com,21/05/2022,Canceled,"['sports', 'fashion']",$441.01,14.74,us,0,0.6059151358398798,SAVE10 ,1.0
#101404,Riley Chen,riley.chen281@gmail.com,03-06-2023,cancelled,"['home', 'fashion', 'sports']",$343.47,6.29,US,Y,10.0,welcome,4.0
#100342,Alex Kim,alex.kim883@yahoo.com,11-04-2022,Shipped,['toys'],$490.07,4.18,FR,False,2.0,SAVE10,4.0
#100307,Riley Chen,riley.chen510@gmail.com,31/07/2023,delivered,"['electronics', 'fashion']",$593.69,17.82,france,yes,11.0,SAVE10,3.0
#101287,Sam Jordan,sam.jordan58@outlook.com,2022/11/14,,"['toys', 'home']",,9.74,CA,FALSE,6.0,SAVE10 ,6.0
#100772,Quinn Davis,quinn.davis625@yahoo.com,07/11/2022,pending,['electronics'],,3.79,DE,FALSE,1.0,WELCOME,6.0
#101776,Taylor Swift,taylor.swift156@yahoo.com,31/12/2022,Pending,['home'],$54.83,22.34,france,N,3.0,SUMMER20,4.0
#100111,Casey Morgan,casey.morgan848@yahoo.com,2022/02/17,Processing,['fashion'],$49.7,15.65,FR,TRUE,10.0,,5.0
#101917,Jordan Lee,jordan.lee866@yahoo.com,22/01/2023,processing,home|kitchen|garden|sports,€439.52,24.24,Australia,Yes,1.0,welcome,5.0
#100715,Jordan Lee,jordan.lee393@yahoo.com,01/05/2024,Delivered,fashion|sports|garden,€241.27,25.86,Canada,,11.0,welcome,6.0
#100985,Sam Jordan,,2022-11-18,shipped,"['sports', 'home']",$508.19,19.63,USA,No,6.0,SAVE10 ,5.0
#101774,Casey Morgan,casey.morgan505@gmail.com,2022/02/24,Processing,"['kitchen', 'home']",$529.46,9.46,United Kingdom,no,7.0,SAVE10,2.0
#101043,Alex Kim,alex.kim399@outlook.com,03-15-2023,shipped,"electronics,garden,fashion,toys",€263.83,3.33,CA,False,7.0,,4.0
#100100,Sam Jordan,sam.jordan261@outlook.com,2024-04-30,delivered,['toys'],145.54,7.54,U.S.,No,8.0,,4.0
#100590,Casey Morgan,casey.morgan770@outlook.com,14/12/2022,processing,"['toys', 'garden', 'sports', 'home']",$164.62,27.24,US,No,0.1481870401167632,,3.0
#101057,Riley Chen,riley.chen45@gmail.com,2023/01/02,SHIPPED,toys|home|electronics,,10.7,UK,False,6.0,SAVE10 ,4.0
#100289,Jordan Lee,jordan.lee974@yahoo.com,2022-05-09,CANCELLED,"['kitchen', 'toys', 'fashion']",162.62,5.51,france,TRUE,3.0,WELCOME,5.0
#100610,Quinn Davis,quinn.davis444@yahoo.com,2023-01-13,Shipped,"['sports', 'home', 'toys', 'fashion']",$475.47,10.37,canada,Yes,3.0,SAVE10 ,2.0
#101128,Sam Jordan,sam.jordan186@yahoo.com,2024-02-28,pending,home|electronics|fashion|books,$173.97,21.74,U.S.,N,4.0,SUMMER20,5.0
#100065,Sam Jordan,,2022/11/28,SHIPPED,kitchen,$87.45,10.24,U.S.,N,3.0,N/A,5.0
#101571,Sam Jordan,sam.jordan430@yahoo.com,2023-06-23,pending,fashion|garden|home,€89.76,9.43,CA,Y,9.0,WELCOME,4.0
#100025,,quinn.davis139@gmail.com,24/06/2022,Delivered,home|kitchen,$176.86,11.64,Germany,1,3.0,,6.0
#100305,Sam Jordan,sam.jordan286@outlook.com,2022-03-12,CANCELLED,"['sports', 'kitchen', 'toys']",187.32,17.24,United States,no,6.0,welcome,5.0
#101110,Quinn Davis,quinn.davis879@outlook.com,22/09/2023,Returned,"['sports', 'home']",,0.42,GB,False,6.0,SAVE10 ,5.0
